threshold,cost_per_10k
0.721,4140974.4955235533
0.722,4140974.4955235533
0.723,4140974.4955235533
0.724,4140974.4955235533
0.725,4140974.4955235533
0.726,4140974.4955235533
0.727,4140974.4955235533
0.728,4140974.4955235533
0.729,4140974.4955235533
0.73,4140974.4955235533
0.731,4140974.4955235533
0.732,4140974.4955235533
0.733,4140974.4955235533
0.734,4140974.4955235533
0.735,4140974.4955235533
0.736,4140974.4955235533
0.737,4140974.4955235533
0.738,4140974.4955235533
0.739,4140974.4955235533
0.74,4140974.4955235533
0.741,4140974.4955235533
0.742,4140974.4955235533
0.743,4140974.4955235533
0.744,4140974.4955235533
0.745,4140974.4955235533
0.746,4140974.4955235533
0.747,4140974.4955235533
0.748,4140974.4955235533
0.749,4140974.4955235533
0.75,4140974.4955235533
0.751,4144550.38629287
0.752,4144550.38629287
0.753,4144550.38629287
0.754,4144550.38629287
0.755,4144504.757628249
0.756,4144504.757628249
0.757,4144504.757628249
0.758,4144504.757628249
0.759,4144504.757628249
0.76,4144504.757628249
0.761,4144504.757628249
0.762,4144504.757628249
0.763,4144504.757628249
0.764,4144504.757628249
0.765,4144504.757628249
0.766,4144504.757628249
0.767,4144504.757628249
0.768,4144504.757628249
0.769,4144504.757628249
0.77,4144504.757628249
0.771,4144504.757628249
0.772,4144504.757628249
0.773,4144504.757628249
0.774,4144504.757628249
0.775,4144504.757628249
0.776,4144504.757628249
0.777,4144504.757628249
0.778,4144504.757628249
0.779,4144504.757628249
0.78,4144504.757628249
0.781,4192846.168373447
0.782,4192846.168373447
0.783,4192776.4089265433
0.784,4259782.154487341
0.785,4259782.154487341
0.786,4259782.154487341
0.787,4259782.154487341
0.788,4259782.154487341
0.789,4259782.154487341
0.79,4259782.154487341
0.791,4259782.154487341
0.792,4259782.154487341
0.793,4259782.154487341
0.794,4259782.154487341
0.795,4259782.154487341
0.796,4259782.154487341
0.797,4259782.154487341
0.798,4259782.154487341
0.799,4259782.154487341
0.8,4259782.154487341
0.801,4263969.4615467815
0.802,4263969.4615467815
0.803,4263969.4615467815
0.804,4263969.4615467815
0.805,4263969.4615467815
0.806,4263969.4615467815
0.807,4263969.4615467815
0.808,4263969.4615467815
0.809,4263969.4615467815
0.81,4263969.4615467815
0.811,4263969.4615467815
0.812,4263969.4615467815
0.8130000000000001,4263969.4615467815
0.8140000000000001,4263969.4615467815
0.8150000000000001,4263969.4615467815
0.8160000000000001,4263969.4615467815
0.8170000000000001,4263969.4615467815
0.8180000000000001,4263969.4615467815
0.8190000000000001,4263969.4615467815
0.8200000000000001,4263969.4615467815
0.8210000000000001,4263969.4615467815
0.8220000000000001,4263969.4615467815
0.8230000000000001,4263969.4615467815
0.8240000000000001,4263969.4615467815
0.8250000000000001,4263969.4615467815
0.8260000000000001,4263969.4615467815
0.8270000000000001,4263969.4615467815
0.8280000000000001,4263969.4615467815
0.8290000000000001,4263969.4615467815
0.8300000000000001,4263969.4615467815
0.8310000000000001,4263969.4615467815
0.8320000000000001,4263969.4615467815
0.833,4263969.4615467815
0.834,4263969.4615467815
0.835,4263969.4615467815
0.836,4263969.4615467815
0.837,4263969.4615467815
0.838,4263969.4615467815
0.839,4263969.4615467815
0.84,4263969.4615467815
0.841,4263969.4615467815
0.842,4263969.4615467815
0.843,4263969.4615467815
0.844,4263969.4615467815
0.845,4263969.4615467815
0.846,4263969.4615467815
0.847,4263969.4615467815
0.848,4263969.4615467815
0.849,4263969.4615467815
0.85,4263969.4615467815
0.851,4263969.4615467815
0.852,4263969.4615467815
0.853,4263969.4615467815
0.854,4263969.4615467815
0.855,4263969.4615467815
0.856,4339148.443517699
0.857,4339148.443517699
